shop_id,shop_name,nkreview_source,nkreview_nick,nkreview_reg_date,nkreview_content
1,1.5도씨,네이버맵,핑퐁옹,2021-06-29,굿
1,1.5도씨,네이버맵,초록초록4227,2021-03-14,동네에 리필 스테이션이 생겨서 너무좋네요^^ 비건지향이라 다양한 비건관련제품 더 생기면 좋겠어용 ㅎ
1,1.5도씨,네이버맵,육룡이나르샤,2022-06-18,소프넛과 삼베로 만든 귀여운 곰돌이 모양 수세미 구입했어요. 작년부터 가야지 가야지 했다가 이제서야 방문했는데 진작 좀 가볼껄 그랬어요. 사장님들 친절하시고 설명도 잘 해주시고 환경을 생각하는 제품들이 많이 있어요. 삼베 수세미는 손으로 직접 떠서 만드거라고 하셨어요. 첫 사용인데 기대만큼 만족했으면 좋겠어요.
1,1.5도씨,네이버맵,맥주두병,2021-04-02,처음 가봤는데 신기한게 많았어요. 환경을 생각하는 유용한 제품들이 많았어요. 린스바 써봤는데 정말 부드럽고 좋더라고요. 다른 제품도 꾸준히 사용해 볼 예정입니다.
1,1.5도씨,네이버맵,맛있으면용서,2021-05-29,동네에 이런 곳이 있어 넘 좋아요~~
1,1.5도씨,네이버맵,러블리쮸스,2022-01-06,쿠키도 맛있고 커피도 맛있어서 들르게 되는곳이다! 환경을 생각할 수 있는곳이 우리동네에 생겨서 너무나 좋다~ 자주 애용할게요~~
1,1.5도씨,네이버맵,돼지런한스텔라,2021-11-06,조금 비싸지만 환경을 생각해서!!
1,1.5도씨,네이버맵,도리스82,2022-08-14,추천하고싶을정도로 좋아요
1,1.5도씨,네이버맵,규앤연코이,2022-08-26,지구를 위한 노력
1,1.5도씨,네이버맵,권미영13,2021-10-14,맛있어요
1,1.5도씨,네이버맵,sso861,2022-10-19,환경지킴이!.물건이 많아서좋아요
1,1.5도씨,네이버맵,Sea2250,2022-01-29,"에코라이프를 실천하기 넘넘 좋은곳이에요 우리동네에 이런곳이있다니! 그래놀라도 진짜맛있어요~ 각종 세제, 샴푸리필등 작게나마 플라스틱을 줄이는 생활을 시작해보세요!"
1,1.5도씨,네이버맵,Sea2250,2022-04-03,"주방세제, 섬유유연제, 바디샤워, 올리브오일까지 꼭 필요한 제품들 리필할 수 있어 좋아요~"
1,1.5도씨,네이버맵,Proco,2022-04-23,책에 소개된 것 보고 커피찌꺼기 화분사러갔다가 이것저것 구경하는 재미에 시간가는 줄 몰랐네요. 잎차 리필로 사는것도 재미있고 비누잘라서 사는 것도 신선해요. 브리터정수필터도 수거해주신다니 잔뜩 모아놔야겠어요.
1,1.5도씨,네이버맵,oni****,2022-09-03,수세미구매!
1,1.5도씨,네이버맵,jihye8834,2021-04-09,제로웨이스트 실천하시는 사장님. 최곱니다.예쁜것들도많고 커피도 맛나요^^
1,1.5도씨,네이버맵,Iwanna,2021-09-15,좋아요
1,1.5도씨,네이버맵,hukmuk,2021-05-18,부디 오래오래^^
1,1.5도씨,네이버맵,hss****,2022-07-15,환경을 생각한 소비를 위해 방문했어요친절하고 음료도 맛있었어요
1,1.5도씨,네이버맵,goo****,2021-09-15,굿
1,1.5도씨,네이버맵,ghk****,2022-09-21,굿
2,30밀리스토어 서울숲,네이버맵,임진의처묵처묵,2022-04-07,근처 더 피커가 온라인 판매만 하는 중이라길래 방문했어요.
2,30밀리스토어 서울숲,네이버맵,율율63,2022-03-12,사장님이 친절하게 설명을 잘 해 주시고 여러 물품을 둘러볼 수 있어서 좋았어요
2,30밀리스토어 서울숲,네이버맵,서서61,2021-10-06,좋아요
3,가벼운 오늘,네이버맵,평화34,2022-04-08,소중한 비건 디저트를 판매하는 카페입니다! 커피도 맛있음??
3,가벼운 오늘,네이버맵,초코맛바리50,2022-04-10,호지차랑 쿠키~!! 환경제품도 팔고 환경을 생각한 비건 카페~!!분위기도좋고 맛있어요! 사장님도 넘 친절하세요!!!
3,가벼운 오늘,네이버맵,쩌lㄹl,2022-06-11,제로웨이스트샵 비건디저트 너무맛있어용 ??
3,가벼운 오늘,네이버맵,임87,2022-05-05,제로웨이스트에 관심이 많아서 와보고싶었는데 너무좋았어요 커피와 디저트도 맛있구요!!
