shop_name,shop_category,shop_subject,shop_facility,shop_region,shop_mon,shop_tue,shop_wed,shop_thu,shop_fri,shop_sat,shop_sun,shop_note,shop_page1,shop_page2,shop_page3,shop_tel,shop_tag,shop_address,shop_lat,shop_lon,shop_img
1.5도씨,카페,#주방 #욕실 #수거 #리필 #카페,#주차 #반려동물동반 #남/녀화장실구분,서울,휴무,10:00 ~ 20:00,10:00 ~ 20:00,10:00 ~ 20:00,10:00 ~ 20:00,10:00 ~ 18:00,10:00 ~ 18:00,,http://instagram.com/1.5_do_c,,,0507-1355-9173,,서울 관악구 조원로18길 15 1층 103호,37.4835316,126.9126295,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210622_145%2F1624372227673UxtT2_JPEG%2FaHqxg80oltK_emxv9UnXPVDs.jpeg.jpg
30밀리스토어 서울숲,종합생활용품,#주방 #욕실 #의류 #수거 #리필 #악세사리 #식료품,예약,서울,휴무,휴무,10:30 ~ 19:30,10:30 ~ 19:30,10:30 ~ 19:30,11:00 ~ 20:00,11:00 ~ 20:00,,https://www.30ml.store,www.instagram.com/30ml.store/,blog.naver.com/30mlstore,070-7585-7080,#30밀리스토어 #바이소셜 #에코라이프스타일 #제로웨이스트 #제로웨이스트샵,서울 성동구 왕십리로4길 26-14 B1,37.5468332,127.046838,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211020_133%2F1634698209553VOHCJ_JPEG%2F4NfoxzGVCJVKDGQEttLecCLx.jpg
가벼운 오늘,카페,#주방 #욕실 #카페,#포장 #예약 #무선인터넷 #반려동물동반,인천,휴무,11:00 ~ 19:00,11:00 ~ 19:00,11:00 ~ 19:00,11:00 ~ 19:00,11:00 ~ 19:00,휴무,,https://www.instagram.com/light_daytoday,,,0507-1347-5349,,인천 부평구 장제로257번길 27 102호,37.5086105,126.7296573,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220117_253%2F1642429010107WVle7_JPEG%2FIMG_20220112_145549_089.jpg
가치놀이연구소,종합생활용품,#주방 #욕실 #리필,#주차,경기,08:30 ~ 18:00,08:30 ~ 18:00,08:30 ~ 18:00,08:30 ~ 18:00,08:30 ~ 18:00,휴무,휴무,,http://www.playforall.co.kr/,,,010-9669-4015,#생태 #자원순환 #제로웨이스트 #탄소중립 #환경,경기 시흥시 연성로 83 현대프라자 4층 405호,37.3909845,126.8128293,
가치쓰제이,종합생활용품,#주방 #욕실 #카페 #위생,#무선인터넷,경남,휴무,11:00 ~ 18:00,11:00 ~ 18:00,11:00 ~ 18:00,11:00 ~ 18:00,11:00 ~ 18:00,휴무,,,,,055-352-5710,#제로웨이스트 #쌀요거트 #쑥치아바타 #세제리필 #공정무역커피,경남 밀양시 삼문송림길 5-7 1층,35.4877365,128.7560629,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220104_185%2F1641272785017EIzli_JPEG%2F%25B0%25A1%25C4%25A1%25BE%25B2%25C1%25A6%25C0%25CC_%25B3%25BB%25BA%25CE%25C0%25FC%25B0%25E6.jpg
감탄상회,종합생활용품,#주방 #욕실 #문구 #리필 #카페,#단체석 #포장 #예약 #무선인터넷 #반려동물동반 #남/녀화장실구분,서울,10:00 ~ 20:00,10:00 ~ 20:00,10:00 ~ 20:00,10:00 ~ 20:00,10:00 ~ 20:00,10:00 ~ 20:00,10:00 ~ 20:00,,https://www.instagram.com/gamtan_store/,,,0507-1312-9324,#제로웨이스트숍 #친환경스토어 #공간대여 #카페 #비건카페,서울 동작구 양녕로29길 16 101호,37.499303,126.9431543,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220529_64%2F1653796254408TUERd_PNG%2F%25B0%25A8%25C5%25BA%25BF%25DC%25BA%25CE.png
곁애,카페,#카페,#무선인터넷,서울,11:00 ~ 19:00,11:00 ~ 19:00,11:00 ~ 19:00,11:00 ~ 19:00,11:00 ~ 19:00,11:00 ~ 19:00,휴무,,http://www.instagram.com/cafe.gyute,,,0507-1342-3877,#로스팅전문 #제로웨이스트샵 #핸드드립전문점,서울 영등포구 영등포로 420-6,37.5124561,126.9242611,https://img1.kakaocdn.net/cthumb/local/R1920x0/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F1A6758B418DB446A896CFE964CE52071
고요거트,카페,#식료품,#포장 #배달 #예약 #반려동물동반,경남,휴무,11:00 ~ 19:00,11:00 ~ 19:00,11:00 ~ 19:00,11:00 ~ 19:00,11:00 ~ 19:00,휴무,,https://www.instagram.com/goyogurt_shop,,,0507-1344-2082,,경남 창원시 의창구 의창대로211번길 31 1층,35.2645118,128.6203271,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220331_161%2F1648678263922SoiVM_JPEG%2F669BF98B-2FFA-4ECB-9E80-BFFE49FAA485.jpeg
공공공간,종합생활용품,#의류 #악세사리,#포장 #무선인터넷,서울,휴무,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,휴무,,http://www.000gan.com/,https://blog.naver.com/000gan,http://www.instagram.com/0.zerodesign/,02-6959-6630,#제로웨이스트 #업싸이클 #워크웨어 #자투리쿠션 #위드굿즈,서울 은평구 통일로 684 미래청 4층 공공공간,37.6084167,126.9337532,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190213_77%2F1550036900142pqhcw_JPEG%2FXgtvVnsKuPsQlGp9tm7adw61.jpg
공기,화장품,#주방 #욕실 #식료품 #의류 #리필,#주차,서울,10:00 ~ 18:00,10:00 ~ 18:00,12:00 ~ 19:00,10:00 ~ 18:00,12:00 ~ 19:00,10:00 ~ 17:00,휴무,,http://www.instagram.com/gonggi_2020,,,010-9948-0716,#세제리필샵 #제로웨이스트샵 #제로페이,서울 강동구 상암로 10 201호,37.5510618,127.1249265,
